date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason,data_source
2026-03-02,Etihad Airways,EY2025,Beirut,Paris,Lebanon,France,Airbus A350-900,80,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY3298,Islamabad,London,Pakistan,UK,Airbus A321neo,450,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY1157,Doha,Abu Dhabi,Qatar,UAE,Airbus A330-300,121,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY6631,London,Abu Dhabi,UK,UAE,Boeing 737 MAX 8,290,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY2160,Istanbul,Riyadh,Turkey,Saudi Arabia,Boeing 777-300ER,114,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY7520,Riyadh,Paris,Saudi Arabia,France,Boeing 777-300ER,241,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY2889,Riyadh,London,Saudi Arabia,UK,Airbus A320neo,330,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY7568,Tehran,Dubai,Iran,UAE,Boeing 737-800,216,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY9173,Istanbul,Singapore,Turkey,Singapore,Boeing 787-10 Dreamliner,80,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY9674,Singapore,London,Singapore,UK,Boeing 777-200LR,249,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY7120,Doha,Kuwait City,Qatar,Kuwait,Boeing 777-300ER,287,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY1788,Dubai,Doha,UAE,Qatar,Boeing 737-800,304,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Etihad Airways,EY1813,Riyadh,Dubai,Saudi Arabia,UAE,Boeing 787-10 Dreamliner,228,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FE978,Washington,Abu Dhabi,USA,UAE,Airbus A380-800,428,Insurance restriction — war zone,Original sample data
2026-03-02,FedEx Express,FE8552,Dubai,Islamabad,UAE,Pakistan,Boeing 787-10 Dreamliner,130,Diplomatic advisory — do not fly,Original sample data
2026-03-02,FedEx Express,FX9120,Los Angeles,Beirut,USA,Lebanon,Airbus A340-600,302,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX7244,Singapore,Beijing,Singapore,China,Boeing 737-800,173,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX2113,Beirut,Riyadh,Lebanon,Saudi Arabia,Boeing 787-9 Dreamliner,295,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX1280,Paris,London,France,UK,Airbus A320neo,372,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX8109,Frankfurt,Islamabad,Germany,Pakistan,Boeing 787-10 Dreamliner,184,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX2692,Paris,Doha,France,Qatar,Airbus A330-300,246,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX7779,New York,Cairo,USA,Egypt,Airbus A350-900,223,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX8121,Doha,Singapore,Qatar,Singapore,Boeing 787-10 Dreamliner,389,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX6890,Frankfurt,Mumbai,Germany,India,Boeing 737 MAX 8,218,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX5065,Sydney,London,Australia,UK,Airbus A321neo,282,Government travel ban,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX3877,Paris,Islamabad,France,Pakistan,Airbus A340-600,320,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX5276,Kuwait City,Abu Dhabi,Kuwait,UAE,Airbus A380-800,259,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX4401,Istanbul,Frankfurt,Turkey,Germany,Boeing 737 MAX 8,221,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX6210,London,Doha,UK,Qatar,Boeing 737 MAX 8,225,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,FedEx Express,FX5225,Riyadh,London,Saudi Arabia,UK,Boeing 777-200LR,243,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GU5565,Abu Dhabi,London,UAE,UK,Boeing 737 MAX 8,213,Airport closure — military activity,Original sample data
2026-03-02,Gulf Air,GF9540,Islamabad,Moscow,Pakistan,Russia,Airbus A340-600,223,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF7756,Doha,Singapore,Qatar,Singapore,Boeing 777-200LR,200,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF8381,Kuwait City,Abu Dhabi,Kuwait,UAE,Airbus A330-300,396,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF9366,Washington,Bahrain,USA,Bahrain,Boeing 787-9 Dreamliner,207,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF3719,Lahore,Paris,Pakistan,France,Boeing 737 MAX 8,270,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF7745,Lahore,Kuwait City,Pakistan,Kuwait,Boeing 737 MAX 8,298,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF6986,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A320neo,121,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF4361,London,Doha,UK,Qatar,Airbus A320neo,303,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF5584,Mumbai,Dubai,India,UAE,Boeing 777-300ER,276,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF3430,Tehran,Abu Dhabi,Iran,UAE,Airbus A380-800,371,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF4951,Tehran,Bahrain,Iran,Bahrain,Airbus A321neo,385,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF5831,Riyadh,Beijing,Saudi Arabia,China,Boeing 777-300ER,80,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF3636,Dubai,Doha,UAE,Qatar,Boeing 737 MAX 8,241,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Gulf Air,GF5512,Karachi,Dubai,Pakistan,UAE,Airbus A320neo,266,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E8993,Lahore,Singapore,Pakistan,Singapore,Boeing 777-300ER,450,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E9204,Riyadh,Dubai,Saudi Arabia,UAE,Airbus A340-600,384,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E7129,Singapore,Tehran,Singapore,Iran,Boeing 737-800,277,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E9199,Doha,Riyadh,Qatar,Saudi Arabia,Airbus A320neo,304,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E6225,Los Angeles,Bahrain,USA,Bahrain,Airbus A330-300,270,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E7146,Lahore,Abu Dhabi,Pakistan,UAE,Boeing 777-200LR,148,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E5059,Amman,Mumbai,Jordan,India,Airbus A340-600,198,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E6345,Kuwait City,Cairo,Kuwait,Egypt,Boeing 737-800,207,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E4321,Mumbai,Dubai,India,UAE,Airbus A350-900,371,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E9128,Sydney,Riyadh,Australia,Saudi Arabia,Boeing 777-300ER,313,Government travel ban,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E3235,Singapore,Tehran,Singapore,Iran,Airbus A350-900,298,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E3086,Abu Dhabi,Paris,UAE,France,Boeing 777-300ER,347,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,IndiGo,6E6213,Dubai,Doha,UAE,Qatar,Boeing 777-200LR,327,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR8290,Kuwait City,London,Kuwait,UK,Boeing 777-300ER,389,Airspace closure — NOTAM,Original sample data
2026-03-02,Iran Air,IR1841,London,Kuwait City,UK,Kuwait,Boeing 777-200LR,411,Security risk — conflict zone,Original sample data
2026-03-02,Iran Air,IR4748,Istanbul,Karachi,Turkey,Pakistan,Airbus A320neo,258,Airport closure — military activity,Original sample data
2026-03-02,Iran Air,IR7824,London,Cairo,UK,Egypt,Airbus A330-300,450,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR6246,Tehran,London,Iran,UK,Boeing 737 MAX 8,97,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR6152,Mumbai,Dubai,India,UAE,Airbus A340-600,166,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR6347,Istanbul,Doha,Turkey,Qatar,Boeing 737 MAX 8,185,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR4965,New York,Bahrain,USA,Bahrain,Boeing 787-9 Dreamliner,357,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR9019,Muscat,Doha,Oman,Qatar,Airbus A320neo,267,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR3604,Beirut,Abu Dhabi,Lebanon,UAE,Airbus A320neo,134,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR8032,Amman,London,Jordan,UK,Airbus A340-600,159,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR8511,Istanbul,Delhi,Turkey,India,Boeing 737-800,324,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR1509,Washington,Doha,USA,Qatar,Airbus A330-300,216,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR5205,Doha,Tehran,Qatar,Iran,Airbus A330-300,288,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR9946,Doha,Paris,Qatar,France,Boeing 787-9 Dreamliner,331,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Iran Air,IR2589,Beirut,London,Lebanon,UK,Airbus A320neo,91,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,JA5760,London,Doha,UK,Qatar,Boeing 777-200LR,111,Fuel supply disruption,Original sample data
2026-03-02,Jazeera Airways,JA3201,Kuwait City,London,Kuwait,UK,Boeing 777-200LR,95,Insurance restriction — war zone,Original sample data
2026-03-02,Jazeera Airways,J95923,Tehran,Doha,Iran,Qatar,Airbus A340-600,386,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J91647,Delhi,Kuwait City,India,Kuwait,Airbus A320neo,450,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J96126,Doha,Tehran,Qatar,Iran,Airbus A350-900,193,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J92344,Bahrain,Paris,Bahrain,France,Boeing 777-300ER,113,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J93230,Abu Dhabi,Lahore,UAE,Pakistan,Boeing 737-800,80,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J95067,Istanbul,London,Turkey,UK,Airbus A380-800,179,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J91725,London,Mumbai,UK,India,Airbus A330-300,250,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J92615,Mumbai,Dubai,India,UAE,Airbus A330-300,253,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J94232,Paris,Dubai,France,UAE,Boeing 787-9 Dreamliner,363,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J96533,Delhi,Istanbul,India,Turkey,Boeing 787-9 Dreamliner,393,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J97919,Moscow,Frankfurt,Russia,Germany,Boeing 737-800,165,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J94792,London,Dubai,UK,UAE,Boeing 737 MAX 8,321,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J93141,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,236,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J92228,London,Delhi,UK,India,Airbus A320neo,315,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J91999,Bahrain,London,Bahrain,UK,Boeing 787-9 Dreamliner,273,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J94267,Frankfurt,Tehran,Germany,Iran,Airbus A340-600,292,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J95088,London,Dubai,UK,UAE,Airbus A330-300,345,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J99561,London,Tehran,UK,Iran,Airbus A380-800,193,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Jazeera Airways,J98357,London,Dubai,UK,UAE,Boeing 737 MAX 8,332,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,KLM,KL5303,Tehran,Moscow,Iran,Russia,Airbus A350-900,215,Airport closure — military activity,Original sample data
2026-03-02,KLM,KL2707,New York,Dubai,USA,UAE,Airbus A321neo,337,Fuel supply disruption,Original sample data
2026-03-02,KLM,KL4463,Dubai,Bahrain,UAE,Bahrain,Boeing 737 MAX 8,311,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,KLM,KL6744,Dubai,Mumbai,UAE,India,Airbus A380-800,293,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,KLM,KL9788,Bahrain,Dubai,Bahrain,UAE,Boeing 737 MAX 8,136,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,KLM,KL9280,Dubai,London,UAE,UK,Boeing 777-200LR,215,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,KLM,KL3876,Los Angeles,London,USA,UK,Airbus A380-800,274,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU8741,New York,Doha,USA,Qatar,Boeing 737-800,155,Diplomatic advisory — do not fly,Original sample data
2026-03-02,Kuwait Airways,KU9653,London,Dubai,UK,UAE,Airbus A320neo,227,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU6620,Cairo,Karachi,Egypt,Pakistan,Boeing 787-9 Dreamliner,205,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU6993,London,Doha,UK,Qatar,Boeing 777-300ER,221,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU3258,Abu Dhabi,Kuwait City,UAE,Kuwait,Boeing 787-10 Dreamliner,322,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU3017,Kuwait City,Dubai,Kuwait,UAE,Boeing 777-300ER,130,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU2294,London,Cairo,UK,Egypt,Boeing 737 MAX 8,281,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU2262,Riyadh,London,Saudi Arabia,UK,Boeing 787-9 Dreamliner,314,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU5896,Bahrain,Doha,Bahrain,Qatar,Boeing 787-10 Dreamliner,283,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU4517,New York,Abu Dhabi,USA,UAE,Boeing 737 MAX 8,233,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU1731,Dubai,Bahrain,UAE,Bahrain,Boeing 737-800,222,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Kuwait Airways,KU5687,Dubai,Istanbul,UAE,Turkey,Airbus A320neo,408,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH3756,Istanbul,London,Turkey,UK,Airbus A380-800,253,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH9882,Abu Dhabi,Cairo,UAE,Egypt,Boeing 777-300ER,450,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH1990,Muscat,Doha,Oman,Qatar,Boeing 777-300ER,402,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH9719,Dubai,Riyadh,UAE,Saudi Arabia,Airbus A320neo,450,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH9897,Los Angeles,Tehran,USA,Iran,Boeing 787-9 Dreamliner,192,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH2245,Doha,Dubai,Qatar,UAE,Boeing 787-10 Dreamliner,195,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH7225,Doha,Tehran,Qatar,Iran,Airbus A340-600,276,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH3740,London,Doha,UK,Qatar,Boeing 787-9 Dreamliner,345,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH1132,Kuwait City,Dubai,Kuwait,UAE,Airbus A330-300,296,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH7590,Tehran,Doha,Iran,Qatar,Airbus A350-900,332,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH3735,Riyadh,Abu Dhabi,Saudi Arabia,UAE,Boeing 777-300ER,336,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH1753,Dubai,Paris,UAE,France,Airbus A380-800,328,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH5872,Frankfurt,Amman,Germany,Jordan,Airbus A380-800,305,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Lufthansa,LH2293,Frankfurt,Muscat,Germany,Oman,Airbus A330-300,242,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Mahan Air,MA3640,Sydney,Abu Dhabi,Australia,UAE,Airbus A340-600,347,Diplomatic advisory — do not fly,Original sample data
2026-03-02,Mahan Air,W53362,New York,Tehran,USA,Iran,Airbus A320neo,155,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Mahan Air,W55503,Doha,Amman,Qatar,Jordan,Airbus A340-600,140,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Mahan Air,W59369,Istanbul,Abu Dhabi,Turkey,UAE,Boeing 787-9 Dreamliner,80,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Mahan Air,W55389,Kuwait City,London,Kuwait,UK,Airbus A320neo,163,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Mahan Air,W59720,Dubai,Singapore,UAE,Singapore,Boeing 737-800,80,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Mahan Air,W54314,Paris,Istanbul,France,Turkey,Boeing 787-9 Dreamliner,317,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Mahan Air,W56905,Washington,Bahrain,USA,Bahrain,Airbus A320neo,290,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Mahan Air,W52506,Abu Dhabi,Kuwait City,UAE,Kuwait,Boeing 777-300ER,290,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Mahan Air,W56425,Istanbul,Paris,Turkey,France,Boeing 737-800,450,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA7586,Beirut,Paris,Lebanon,France,Airbus A321neo,325,Airspace closure — NOTAM,Original sample data
2026-03-02,Malaysia Airlines,MA1844,Dubai,London,UAE,UK,Boeing 777-300ER,398,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA9743,London,Amman,UK,Jordan,Airbus A330-300,176,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA9005,Doha,Istanbul,Qatar,Turkey,Airbus A321neo,127,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA1085,Doha,Sydney,Qatar,Australia,Airbus A330-300,239,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA5773,Cairo,Kuwait City,Egypt,Kuwait,Airbus A321neo,148,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA1402,Kuwait City,Tehran,Kuwait,Iran,Boeing 737-800,243,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA6707,Lahore,Tehran,Pakistan,Iran,Boeing 737 MAX 8,145,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA3466,Dubai,Doha,UAE,Qatar,Boeing 787-9 Dreamliner,107,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA2817,Doha,Dubai,Qatar,UAE,Airbus A320neo,139,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA1202,Bahrain,Abu Dhabi,Bahrain,UAE,Airbus A320neo,198,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Malaysia Airlines,MA7790,Abu Dhabi,Frankfurt,UAE,Germany,Airbus A330-300,325,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Oman Air,OM1298,Moscow,Tehran,Russia,Iran,Boeing 777-200LR,214,Airport closure — military activity,Original sample data
2026-03-02,Oman Air,OM194,Delhi,Istanbul,India,Turkey,Airbus A350-900,180,Airspace closure — NOTAM,Original sample data
2026-03-02,Oman Air,OM7244,London,Riyadh,UK,Saudi Arabia,Airbus A380-800,134,Airspace closure — NOTAM,Original sample data
2026-03-02,Oman Air,OM5215,Riyadh,London,Saudi Arabia,UK,Airbus A350-900,176,Fuel supply disruption,Original sample data
2026-03-02,Oman Air,WY2217,Tehran,Dubai,Iran,UAE,Boeing 787-10 Dreamliner,288,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY4984,Cairo,Singapore,Egypt,Singapore,Boeing 777-300ER,375,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY6896,Frankfurt,Kuwait City,Germany,Kuwait,Airbus A340-600,333,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY7116,Kuwait City,Doha,Kuwait,Qatar,Airbus A330-300,136,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY8231,Amman,Dubai,Jordan,UAE,Boeing 777-200LR,374,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY3340,Paris,Muscat,France,Oman,Airbus A320neo,299,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY2195,Riyadh,Doha,Saudi Arabia,Qatar,Boeing 737-800,259,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY6828,Dubai,Doha,UAE,Qatar,Airbus A330-300,281,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY5093,Washington,Doha,USA,Qatar,Airbus A340-600,450,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY5602,Dubai,Mumbai,UAE,India,Airbus A350-900,207,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY6846,Cairo,Tehran,Egypt,Iran,Airbus A340-600,197,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY6600,Paris,Dubai,France,UAE,Airbus A320neo,242,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY3516,Islamabad,Moscow,Pakistan,Russia,Boeing 777-200LR,243,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Oman Air,WY8619,London,Muscat,UK,Oman,Boeing 787-9 Dreamliner,123,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PA2935,Istanbul,Dubai,Turkey,UAE,Boeing 777-300ER,186,Insurance restriction — war zone,Original sample data
2026-03-02,Pakistan International Airlines,PA3613,Karachi,Dubai,Pakistan,UAE,Airbus A321neo,230,Airport closure — military activity,Original sample data
2026-03-02,Pakistan International Airlines,PK4978,Dubai,Islamabad,UAE,Pakistan,Airbus A350-900,284,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK7079,Bahrain,Kuwait City,Bahrain,Kuwait,Boeing 777-300ER,228,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK4948,Tehran,Dubai,Iran,UAE,Boeing 787-10 Dreamliner,217,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK7112,Abu Dhabi,Doha,UAE,Qatar,Airbus A320neo,199,Fuel supply disruption,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK2320,Amman,Islamabad,Jordan,Pakistan,Airbus A330-300,286,Security risk — conflict zone,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK8798,Sydney,Doha,Australia,Qatar,Airbus A320neo,148,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK6829,Abu Dhabi,Kuwait City,UAE,Kuwait,Airbus A340-600,143,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK5775,Washington,Abu Dhabi,USA,UAE,Airbus A380-800,262,Airport closure — military activity,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK2865,Abu Dhabi,Islamabad,UAE,Pakistan,Boeing 787-10 Dreamliner,281,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK6766,Istanbul,Cairo,Turkey,Egypt,Airbus A330-300,318,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK2463,Mumbai,Frankfurt,India,Germany,Airbus A350-900,340,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK2412,Dubai,New York,UAE,USA,Boeing 787-10 Dreamliner,128,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK7098,New York,London,USA,UK,Boeing 777-300ER,185,Crew safety — company policy,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK3846,Singapore,Doha,Singapore,Qatar,Airbus A330-300,225,Government travel ban,Simulated — scaled from verified sample
2026-03-02,Pakistan International Airlines,PK6761,London,Dubai,UK,UAE,Airbus A380-800,161,Government travel ban,Simulated — scaled from verified sample
